Region,Market,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
3,28,556,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
3,28,556,233,Tablets,,,4 feet,Moved tablets to the table
3,28,556,267,Tonies,,,4 feet,Repurposed tablet – footage
3,28,556,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
3,28,593,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
3,28,593,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,28,593,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
3,28,593,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
3,28,593,233,Tablets,,,4 feet,Moved tablets to the table
3,28,639,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,28,639,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
3,28,639,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
3,28,639,233,Tablets,,,4 feet,Moved tablets to the table
3,28,686,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
3,28,686,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
3,28,686,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
3,28,836,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
3,28,836,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
3,28,836,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
3,28,862,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
3,28,862,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,28,862,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
3,28,862,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
